feat0,feat1,feat2,depth,distance,MMAP
edge,hog,res,300,d1,nan
edge,hog,res,200,d1,nan
edge,hog,res,100,d1,nan
edge,hog,res,50,d1,nan
edge,hog,res,30,d1,nan
edge,hog,res,10,d1,nan
edge,hog,res,5,d1,nan
edge,hog,res,3,d1,nan
edge,hog,res,1,d1,nan
edge,vgg,res,None,d1,nan
edge,vgg,res,300,d1,nan
edge,vgg,res,200,d1,nan
edge,vgg,res,100,d1,nan
edge,vgg,res,50,d1,nan
edge,vgg,res,30,d1,nan
edge,vgg,res,10,d1,nan
edge,vgg,res,5,d1,nan
edge,vgg,res,3,d1,nan
edge,vgg,res,1,d1,nan
gabor,hog,vgg,None,d1,nan
gabor,hog,vgg,300,d1,nan
gabor,hog,vgg,200,d1,nan
gabor,hog,vgg,100,d1,nan
gabor,hog,vgg,50,d1,nan
gabor,hog,vgg,30,d1,nan
gabor,hog,vgg,10,d1,nan
gabor,hog,vgg,5,d1,nan
gabor,hog,vgg,3,d1,nan
gabor,hog,vgg,1,d1,nan
gabor,hog,res,None,d1,nan
gabor,hog,res,300,d1,nan
gabor,hog,res,200,d1,nan
gabor,hog,res,100,d1,nan
gabor,hog,res,50,d1,nan
gabor,hog,res,30,d1,nan
gabor,hog,res,10,d1,nan
gabor,hog,res,5,d1,nan
gabor,hog,res,3,d1,nan
gabor,hog,res,1,d1,nan
gabor,vgg,res,None,d1,nan
gabor,vgg,res,300,d1,nan
gabor,vgg,res,200,d1,nan
gabor,vgg,res,100,d1,nan
gabor,vgg,res,50,d1,nan
gabor,vgg,res,30,d1,nan
gabor,vgg,res,10,d1,nan
gabor,vgg,res,5,d1,nan
gabor,vgg,res,3,d1,nan
gabor,vgg,res,1,d1,nan
hog,vgg,res,None,d1,nan
hog,vgg,res,300,d1,nan
hog,vgg,res,200,d1,nan
hog,vgg,res,100,d1,nan
hog,vgg,res,50,d1,nan
hog,vgg,res,30,d1,nan
hog,vgg,res,10,d1,nan
hog,vgg,res,5,d1,nan
hog,vgg,res,3,d1,nan
hog,vgg,res,1,d1,nan
